Date,PnL,Stock_Pos,Hedge_Opt_Pos
2025-11-26,-26.702938076414284,6.952380944927711,96.28890294857685
2025-11-27,-2251.90108563345,8.809193831792136,92.8126432847015
2025-11-28,-2261.1570709114167,8.621458074009425,93.02209957019748
2025-12-01,-3341.5504489570158,9.681048112060175,91.1386783717235
2025-12-02,-3314.4463349493017,8.959937671022487,92.26005928720681
2025-12-03,-2430.690609982179,8.940480359227713,92.96705772647198
2025-12-04,-1328.4688490731205,8.291198290743822,94.35395316783817
2025-12-05,-1249.286018158571,9.253792230015002,92.96566323922484
2025-12-08,-1173.417481521814,8.324324434739992,94.70848254272816
2025-12-09,-935.3434353020057,7.599466211867174,96.18014536327647
2025-12-10,-495.25493044152245,6.95090441580335,97.69046445298366
2025-12-11,-670.1404636090156,7.917670109537177,95.86870299848847
2025-12-12,-506.5264971337165,8.830044519929892,94.46822695107528
2025-12-15,-292.8596284580708,8.760278951655366,94.80833027436762
2025-12-16,-84.41473281903745,7.680222899978638,96.97506773668181
2025-12-17,-326.98040017922904,7.8307246137561535,96.8874722854956
2025-12-18,-299.1679916638823,7.934293502706382,96.88193448260127
2025-12-19,-577.8396511570973,9.244967221449869,94.4129076130798
2025-12-22,-695.655591911549,10.831146397637184,91.65244219036451
2025-12-23,43.41597915487364,10.278281053826191,92.89449338445604
2025-12-24,-1143.4772301595367,11.12217138103668,91.01135553001775
2025-12-26,-536.9373187814053,10.643218222502675,92.48914010364236
2025-12-29,-54.30779690876807,9.54189187111983,94.69027876973065
2025-12-30,-152.46002772208158,9.647327186246962,94.48464795758775
2025-12-31,-106.24772451170429,10.98123591105849,92.0226602036072
2026-01-01,330.0031887438672,11.183660878669983,92.16904217107026
2026-01-02,689.7129878913111,12.365935610763302,90.41020767202542
2026-01-05,1373.1960321304214,12.117627184147494,91.70422146991736
2026-01-06,1012.7192034532782,11.159969369154275,92.65044429871787
2026-01-07,1152.6405265524008,11.098621121482665,93.12645077243646
2026-01-08,954.4992719407746,8.588714669061709,97.48272558160262
2026-01-09,1083.6739156203694,7.167566108161068,101.2204242502732
2026-01-12,1285.4238490696735,7.918794966748727,99.73214598966295
2026-01-13,1866.273422099206,7.137920503829363,102.49216154889395
2026-01-14,1786.405470599566,6.627447939466784,103.7455157225515
2026-01-16,1746.0817227892767,6.9504203769027555,103.12266726630996
2026-01-19,1998.0713188267146,6.046898094008085,107.1042449682648
2026-01-20,1987.885292079016,3.201856945268908,115.24852903941908
2026-01-21,1919.2438225091792,2.8959398843305166,116.87602942610884
2026-01-22,1772.9390063764004,3.7335788506702308,113.5801538689061
2026-01-23,1839.7622316965717,2.400963201425249,118.6829319938827
2026-01-27,1494.9202073580564,3.2680879596370076,115.87163279127435
2026-01-28,2002.505095207538,3.59415606657733,118.19924982013626
2026-01-29,1821.2128447346222,4.357574355395965,116.18790164379351
2026-01-30,2050.706798662013,3.318912091417314,120.3642102970634
2026-02-01,2251.152762867895,0.6422373627175162,129.16544685104185
2026-02-02,1883.0078301860121,1.2750609910701804,134.9884301251986
2026-02-03,1237.5153305979838,7.090953243053093,110.97520492601068
2026-02-04,1295.8375337507641,8.033471262250139,111.24640419121239
2026-02-05,1418.7214002443798,5.930792015082638,120.65739822853705
2026-02-06,1755.8935761455832,6.2057429064652325,124.95347661593244
